date,open,high,low,close,volume
2/22/2017,280.31,283.45,272.6,273.51,8537811
2/21/2017,275.45,281.4,274.01,277.39,5647575
2/17/2017,265.8,272.89,264.15,272.23,6251469
2/16/2017,277.6,280,268.5,268.95,7063860
2/15/2017,280,282.24,276.44,279.76,4943879
2/14/2017,279.03,287.39,278.61,280.98,7341450
2/13/2017,270.74,280.7899,270.51,280.6,7023072
2/10/2017,269.79,270.95,266.11,269.23,3618336
2/9/2017,266.25,271.18,266.15,269.2,7812600
2/8/2017,257.35,263.36,256.2,262.08,3912428
2/7/2017,258.19,260,256.42,257.48,4244063
2/6/2017,251,257.82,250.63,257.77,3557600
2/3/2017,251.91,252.179,249.68,251.33,2185230
2/2/2017,248.34,252.42,247.71,251.55,2498799
2/1/2017,253.05,253.2,249.05,249.24,3953105
1/31/2017,249.24,255.89,247.7,251.93,4112013
1/30/2017,252.53,255.2899,247.1,250.63,3798638
1/27/2017,251.38,253,248.52,252.95,3161774
1/26/2017,254.29,255.74,250.75,252.51,3143717
1/25/2017,257.31,258.46,251.8,254.47,5145301
1/24/2017,250,254.8,249.65,254.61,4958144
1/23/2017,245.85,250.8899,245.5,248.92,6262097
1/20/2017,245.46,246,243.01,244.73,4199720
1/19/2017,247.25,248.68,240.75,243.76,7717244
1/18/2017,236.65,239.71,235.58,238.36,3767272
1/17/2017,236.7,239.96,234.37,235.58,4614731
1/13/2017,230,237.85,229.59,237.75,6085610
1/12/2017,229.06,230.7,225.58,229.59,3787547
1/11/2017,229.07,229.98,226.68,229.73,3649910
1/10/2017,232,232,226.89,229.87,3658981
1/9/2017,228.97,231.92,228,231.28,3972716
1/6/2017,226.93,230.31,225.45,229.01,5524153
1/5/2017,226.42,227.48,221.95,226.75,5908927
1/4/2017,214.75,228,214.31,226.99,11204560
1/3/2017,214.86,220.33,210.96,216.99,5901494
12/30/2016,216.3,217.5,211.68,213.69,4641288
12/29/2016,218.56,219.2,214.1225,214.68,4043086
12/28/2016,221.53,223.8,217.2,219.74,3778544
12/27/2016,214.88,222.25,214.42,219.53,5913335
12/23/2016,208,213.45,207.71,213.34,4668263
12/22/2016,208.22,209.99,206.5,208.45,3108427
12/21/2016,208.45,212.23,207.41,207.7,5206143
12/20/2016,203.05,209,202.5,208.79,4684269
12/19/2016,202.49,204.45,199.84,202.73,3486937
12/16/2016,198.08,202.59,197.6,202.49,3795444
12/15/2016,198.41,200.74,197.39,197.58,3218653
12/14/2016,198.74,203,196.76,198.69,4147314
12/13/2016,193.18,201.28,193,198.15,6819322
12/12/2016,192.8,194.42,191.04,192.43,2436428
12/9/2016,190.87,193.836,190.81,192.18,2720937
12/8/2016,192.05,192.5,189.54,192.29,3193684
12/7/2016,186.15,193.4,185,193.15,5457071
12/6/2016,185.52,186.58,182.6825,185.85,3389365
12/5/2016,182.51,188.89,182.51,186.8,4069480
12/2/2016,182.88,184.88,180,181.47,4040201
12/1/2016,188.25,188.53,181,181.88,5119105
11/30/2016,191,191.89,187.5,189.4,3544891
11/29/2016,195.56,196.73,189.5,189.57,4435312
11/28/2016,195.48,199.35,194.55,196.12,4521082
11/25/2016,193.64,197.2372,193.64,196.65,2366098
11/23/2016,190.61,195.644,189,193.14,4890285
11/22/2016,185.84,191.47,183.71,191.17,5601238
11/21/2016,185.04,188.89,184.41,184.52,4355872
11/18/2016,190.65,193,185,185.02,5206473
11/17/2016,183.49,189.49,182.1101,188.66,4880969
11/16/2016,182.65,184.73,181.21,183.93,3432668
11/15/2016,182.78,186.43,182.05,183.77,3899743
11/14/2016,188,188.25,178.19,181.45,6547913
11/11/2016,184.24,188.88,183,188.56,3987091
11/10/2016,191.05,191.61,180.42,185.35,6746290
11/9/2016,186.875,192,183.95,190.06,8166447
11/8/2016,193.79,197.49,191.26,194.94,3252927
11/7/2016,193.59,194.29,190.05,193.21,3857682
11/4/2016,189,193.46,185.96,190.56,5143915
11/3/2016,189,191.47,187.0401,187.42,2644550
11/2/2016,190.05,192.6951,187.505,188.02,4242250
11/1/2016,198.04,198.5,188.105,190.79,7023674
10/31/2016,202.49,202.49,195.81,197.73,4691320
10/28/2016,204,205.32,199.83,199.97,4273456
10/27/2016,211.34,213.7,201.65,204.01,13070990
10/26/2016,201,203.19,200.1,202.24,5346893
10/25/2016,202.9,204.69,201.2,202.34,2442118
10/24/2016,201,203.9452,200.25,202.76,2747344
10/21/2016,198.6,201.57,197.41,200.09,2936908
10/20/2016,202.12,203,197.05,199.1,5069410
10/19/2016,199.74,206.66,198.06,203.56,6966185
10/18/2016,195.99,199.47,193.26,199.1,5676046
10/17/2016,197.05,198.39,192,193.96,4518331
10/14/2016,200.66,201.43,196.3,196.51,4265471
10/13/2016,200.5,200.895,197.05,200.24,2495140
10/12/2016,200.95,203.88,200.42,201.51,1969099
10/11/2016,201.85,202.2,198.31,200.1,2326754
10/10/2016,201.35,204.14,199.66,200.95,3311340
10/7/2016,201,201.32,195.8,196.61,3489480
10/6/2016,202.46,204.2099,200.21,201,4697937
10/5/2016,212.24,213.15,208.12,208.46,1872456
10/4/2016,213.1,213.32,208.82,211.41,3537953
10/3/2016,212.3,215.6688,208.25,213.7,5989342
9/30/2016,202.21,204.98,199.55,204.03,2581730
9/29/2016,205.6,207.33,200.58,200.7,2714040
9/28/2016,207.51,208.25,205.26,206.27,2079324
9/27/2016,209.65,209.9818,204.6093,205.81,3367907
9/26/2016,206.5,211,206.5,208.99,2393373
9/23/2016,205.99,210.18,205.67,207.45,2904125
9/22/2016,206.4,207.28,203,206.43,2381600
9/21/2016,206.37,207,201.56,205.22,2631285
9/20/2016,206.85,207.75,203.91,204.64,2408556
9/19/2016,207,209.43,205,206.34,2298318
9/16/2016,200.42,205.7,199,205.4,3104266
9/15/2016,196.49,202.5193,196.4,200.42,3082942
9/14/2016,195.75,197.9248,194.8562,196.41,2256143
9/13/2016,197.06,198.49,193.45,196.05,3583140
9/12/2016,195,201.369,194.1,198.3,3714049
9/9/2016,199.09,199.92,193.7,194.47,3753734
9/8/2016,199.55,199.89,196.36,197.36,3372293
9/7/2016,205.5,206.4968,200.71,201.71,3637918
9/6/2016,199.02,203.25,199,202.83,4386193
9/2/2016,202.33,203.2,196.2,197.78,5970154
9/1/2016,209.01,211.0999,200.5,200.77,7932444
8/31/2016,210.43,212.6,208.65,212.01,3274854
8/30/2016,216.11,216.11,210.52,211.34,3164222
8/29/2016,220.15,220.4,215,215.2,3261381
8/26/2016,222.14,222.855,218.82,219.99,2238087
8/25/2016,223.11,223.8,220.77,220.96,1760212
8/24/2016,227.05,227.15,222.22,222.62,2566947
8/23/2016,224.32,228.49,222.8,224.84,4747745
8/22/2016,224.17,225.11,222.68,222.93,2061692
8/19/2016,223.54,225.169,222.53,225,1658616
8/18/2016,223.82,225.66,222.29,223.51,1699300
8/17/2016,224.33,224.83,222.8,223.24,1786408
8/16/2016,225.49,227.19,223.4101,223.61,2251115
8/15/2016,226.02,229.5,224.93,225.59,2017964
8/12/2016,225.41,226.65,224.04,225.61,1811850
8/11/2016,226.17,227.57,223.41,224.91,1876959
8/10/2016,228.24,229.87,224.62,225.65,2336496
8/9/2016,226.82,231.5375,226.65,229.08,2199766
8/8/2016,228,229.6,226.09,226.16,2259465
8/5/2016,230,232,227.4,230.03,3190342
8/4/2016,225.69,230.86,222.05,230.61,4142155
8/3/2016,227.37,229.699,224.21,225.79,3808747
8/2/2016,229.37,229.87,221.4,227.2,3928706
8/1/2016,235.5,236.63,229.38,230.01,4014048
7/29/2016,230.7,235.28,230.24,234.79,3061574
7/28/2016,227.95,230.76,226.6,230.61,2415462
7/27/2016,229.34,233.36,226.92,228.49,2887028
7/26/2016,227.69,230,225.3,229.51,3427251
7/25/2016,222.27,231.39,221.3715,230.01,4479483
7/22/2016,221.99,224.5,218.88,222.27,2570462
7/21/2016,226,227.847,219.1,220.5,4425756
7/20/2016,226.47,229.8,225,228.36,2556119
7/19/2016,225,229.1,224.75,225.26,3047535
7/18/2016,219.64,227.09,218.3,226.25,3394588
7/15/2016,222.52,222.7499,219.64,220.4,2230821
7/14/2016,223.12,224.94,221.05,221.53,2657899
7/13/2016,225.5,225.59,220.29,222.53,3540699
7/12/2016,224.1,227.5,223.22,224.65,4573875
7/11/2016,219.96,226.78,219.51,224.78,5369066
7/8/2016,217.8,219.81,214.5,216.78,4067131
7/7/2016,213.1,218.12,213.01,215.94,3603385
7/6/2016,210,215.23,209,214.44,4910285
7/5/2016,209.73,214.5441,208,213.98,5169832
7/1/2016,206.14,218.24,206,216.5,5396030
6/30/2016,212.97,213.4999,209.02,212.28,4794440
6/29/2016,205.13,211.78,203,210.19,5987120
6/28/2016,201.89,204.05,199.41,201.79,6158996
6/27/2016,190.86,198.81,187.87,198.55,7211823
6/24/2016,190.05,195.12,189.73,193.15,6988949
6/23/2016,195.69,197.55,192.13,196.4,10098190
6/22/2016,199.47,205.95,195.75,196.66,23706100
6/21/2016,220.68,222.569,218.81,219.61,2855619
6/20/2016,219.5,223.75,218.23,219.7,3549768
6/17/2016,217.81,219.99,214.5,215.47,3107734
6/16/2016,217.42,218.04,213.5,217.93,2438692
6/15/2016,216.95,221.9,215.13,217.7,2905002
6/14/2016,218.88,222.2,212.53,214.96,3575822
6/13/2016,219.5,225.77,217.66,217.87,4187833
6/10/2016,227.39,227.97,218.4217,218.79,5994548
6/9/2016,234.98,235.33,227.06,229.36,4454222
6/8/2016,233.8,240.845,232.605,235.52,5965110
6/7/2016,222.24,234.44,221.52,232.34,6194154
6/6/2016,218,220.9,215.45,220.68,2242634
6/3/2016,220,221.94,218.01,218.99,2226110
6/2/2016,219.59,219.909,217.11,218.96,2017279
6/1/2016,221.48,222.4,216.89,219.56,2982270
5/31/2016,223.04,224.7497,221.5001,223.23,2786682
5/27/2016,224.99,225.93,220.75,223.04,3645792
5/26/2016,220.5,225.26,219.05,225.12,4066512
5/25/2016,217.91,221.36,216.51,219.58,3131279
5/24/2016,216.6,218.74,215.18,217.91,3009327
5/23/2016,219.87,222.6,215.86,216.22,5096751
5/20/2016,216.99,220.55,216.35,220.28,8996546
5/19/2016,213.62,216.79,207.3,215.21,6817922
5/18/2016,209.15,215.31,207.75,211.17,5552692
5/17/2016,209.05,209.8199,204.02,204.66,2842028
5/16/2016,208.15,213.15,207.92,208.29,2945754
5/13/2016,207.78,211.2,206.7,207.61,2820616
5/12/2016,211.44,211.67,203.6572,207.28,3650075
5/11/2016,207.59,215.48,206.05,208.96,5159640
5/10/2016,207.55,209.47,205,208.69,4068053
5/9/2016,215.72,216.15,206.8,208.92,4772992
5/6/2016,210.87,216.37,208.11,214.93,5683675
5/5/2016,228.46,228.64,209.79,211.53,11248340
5/4/2016,230.29,234.46,220.4,222.56,8550004
5/3/2016,237.36,238.91,231.62,232.32,4296325
5/2/2016,241.5,243.19,234.82,241.8,3838958
4/29/2016,248.14,248.43,237.81,240.76,5405164
4/28/2016,249.85,253.43,247.44,247.71,2515595
4/27/2016,252.75,255,249.4,251.47,3198105
4/26/2016,252.05,255.73,249.39,253.74,3217779
4/25/2016,253.01,257.38,250.76,251.82,3665088
4/22/2016,248.89,254,245.71,253.75,3783126
4/21/2016,248.99,250.9,246.91,248.29,2777079
4/20/2016,246.26,253.66,241.5,249.97,5192343
4/19/2016,253.12,254.3699,241.251,247.37,6351360
4/18/2016,252.23,258.31,251.66,253.88,4263246
